Date,Price,Open,High,Low,Vol.,Change %
2008-04-23,1800.79,1784.23,1809.02,1784.23,340.43M,0.74%
2008-04-22,1787.49,1799.72,1803.35,1785.47,346.70M,-0.72%
2008-04-21,1800.48,1793.19,1802.81,1791.4,299.02M,1.61%
2008-04-18,1771.9,1772.89,1778.81,1762.94,237.57M,0.18%
2008-04-17,1768.67,1782.51,1783.85,1765.59,265.02M,0.57%
2008-04-16,1758.56,1757.83,1765.81,1753.79,286.33M,0.94%
2008-04-15,1742.17,1749.29,1754.3,1734.13,238.47M,-0.26%
2008-04-14,1746.71,1746.88,1755.28,1739.03,223.46M,-1.85%
2008-04-11,1779.71,1768.13,1779.92,1759.29,272.36M,0.85%
2008-04-10,1764.64,1745.6,1764.64,1735.78,214.92M,0.57%
2008-04-08,1754.71,1770.98,1770.98,1749.64,267.23M,-1.06%
2008-04-07,1773.56,1769.74,1786.57,1763.38,275.34M,0.40%
2008-04-04,1766.49,1762.94,1768.06,1756.74,256.80M,0.16%
2008-04-03,1763.63,1745.72,1765.53,1742.43,253.83M,1.23%
2008-04-02,1742.19,1738.64,1743.54,1734.42,326.49M,2.35%
2008-04-01,1702.25,1701.64,1717.83,1694.53,320.40M,-0.10%
2008-03-31,1703.99,1705.17,1709.31,1685.19,291.72M,0.13%
2008-03-28,1701.83,1671.06,1704.28,1670.89,350.47M,1.53%
2008-03-27,1676.24,1671.98,1677.31,1660.45,257.89M,-0.20%
2008-03-26,1679.67,1676.81,1681.91,1670.31,280.42M,0.28%
2008-03-25,1674.93,1676.74,1680.77,1667.93,319.95M,1.19%
2008-03-24,1655.3,1653.82,1663.57,1645.89,258.05M,0.58%
2008-03-21,1645.69,1644.05,1645.78,1634.51,283.94M,1.37%
2008-03-20,1623.39,1602.29,1624.48,1592.94,243.41M,0.07%
2008-03-19,1622.23,1626.28,1632.68,1614.96,280.39M,2.11%
2008-03-18,1588.75,1585.32,1590.28,1566.96,243.06M,0.91%
2008-03-17,1574.44,1588.53,1588.53,1537.53,298.74M,-1.61%
2008-03-14,1600.26,1637.78,1638.66,1578.45,297.67M,-0.95%
2008-03-13,1615.62,1657.21,1657.21,1609.17,309.59M,-2.60%
2008-03-12,1658.83,1685.44,1687.63,1658.17,325.28M,1.06%
2008-03-11,1641.48,1605.31,1643.66,1602.35,279.83M,1.00%
2008-03-10,1625.17,1634.42,1650.56,1621.4,318.10M,-2.33%
2008-03-07,1663.97,1682.17,1682.17,1650.74,304.21M,-1.97%
2008-03-06,1697.44,1681.39,1705.97,1680.11,359.69M,1.21%
2008-03-05,1677.1,1680.63,1687.2,1667.87,263.58M,0.05%
2008-03-04,1676.18,1677.1,1686.59,1665.1,278.57M,0.27%
2008-03-03,1671.73,1676.3,1676.3,1657.79,237.09M,-2.33%
2008-02-29,1711.62,1717.69,1721.85,1708.21,315.82M,-1.41%
2008-02-28,1736.17,1726.08,1739.6,1713.25,257.44M,0.89%
2008-02-27,1720.89,1725.96,1732.8,1715.81,306.57M,0.69%
2008-02-26,1709.13,1724.55,1726.47,1704.5,283.72M,0.00%
2008-02-25,1709.13,1701.75,1715,1701.64,299.19M,1.34%
2008-02-22,1686.45,1687.63,1687.63,1670.69,281.41M,-1.05%
2008-02-21,1704.36,1708.01,1713.64,1694.58,241.93M,0.97%
2008-02-20,1687.91,1704.66,1718.15,1683.7,321.61M,-1.90%
2008-02-19,1720.52,1717.1,1722.71,1708.93,362.83M,1.43%
2008-02-18,1696.24,1701.75,1714.2,1681.02,374.01M,0.09%
2008-02-15,1694.77,1672.39,1696.37,1668.41,485.52M,-0.16%
2008-02-14,1697.45,1660.45,1697.45,1660.45,503.95M,4.02%
2008-02-13,1631.78,1663.29,1663.95,1629.57,318.95M,-0.70%
2008-02-12,1643.29,1653.6,1654.62,1641.05,291.25M,0.16%
2008-02-11,1640.67,1648.51,1651.72,1633.46,234.30M,-3.29%
2008-02-05,1696.57,1686.2,1697.99,1680.39,253.90M,0.38%
